Produkt	Preis	Gesamtwertung	Preis-Leistung	Telefon und Akku	Internet	Multimedia	Handling	App-Store	Getestet mit	Aktuelles Betriebssystem	Handbuch	App-Store-Anbindung	Prozessor	Prozessor-Kerne	Prozessor-Takt (MHz)	Arbeitsspeicher (MByte)	SAR-Wert (W/kg)	Akku Sprechzeit (Stunden)	Akku Online-Laufzeit (Stunden)	Akku Lade-Dauer (Stunden)	Akku: Kapazität (mAh)	Akku: Austauschbar	Gesamt-Wertung Akku	Gewicht (g)	Höhe x Breite (mm)	Dicke (mm)	Anmutung	WLAN	GSM-Frequenzbänder	EDGE	UMTS: Daten empfangen	UMTS: Daten versenden	LTE: Unterstützte Frequenzbänder	LTE: Cat-4	Videotelefon	Touchscreen	Touchscreen: Reaktionsfreudigkeit	Display: Typ	Display: Abmessungen	Display: Diagonale (Zoll)	Display: Auflösung	Display: Pixeldichte (ppi)	Display: Farbanzahl	Display: Reflektions-Kontrast	Display: Helligkeit bei Umgebungslicht (cd/m²)	Display: Schachbrett-Kontrast	Sprachaufnahme	Profile	Push-E-Mail	E-Mail per Exchange	Speicher (MByte)	Speicherkarten-Slot	USB-Version	USB-Buchse	USB: Zeit für Übertragung von 100 MByte (s)	SIM-Slot	Bluetooth	NFC	Kamera: Auflösung (Megapixel)	Front-Kamera: Auflösung	Kamera: Autofokus	Kamera: Blitztyp	Camcorder-Auflösung	TV-Ausgang	Musik-Player: Formate	Video-Player	UKW-Radio	Navi: GPS-Empänger	Navi: Software	Navi: Vollversion	Navi: Software-Typ	Navi: Landkarten	Navi: GPS-Fix	Benchmark: Browsermark 1.0	Benchmark: Browsermark 2.0	Getestet am
Nokia Lumia 630	121.45	84.3	87	80.7	87.2	77.7	89.3	83.6	Windows Phone 8.1	Windows Phone 8.1	-	Windows Phone Store	Qualcomm MSM8226 Snapdragon 400	4	1.2	512	1.51	6.25	5.66666666666667	2.55	1830	ja	71.1	135	129 x 67	10	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 99	4.5	480 x 854	219	16.777.216 Farben	5.0:1	369	139:01:00	ja	ja	ja	ja	3891	für microSD-Karten	USB 2.0	Micro-USB-Buchse	16	für Micro-SIM	4.0 (mit A2DP)	-	5	-	ja	-	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Onboard (Here Drive+)	Weltweit	13 Sekunden	-	-	11.06.2014
Yota Devices Yotaphone	429.75	84.2	48	90.3	91.6	87.6	69.2	95.8	Android 4.2.2 mit Yota-UI	Android 4.2.2	-	Google Play	Qualcomm Snapdragon S4	2	1.7	2048	0.57	6.46666666666667	5.7	1.93333333333333	1800	-	70.3	147	133 x 67	10	gut	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 96	4.3	720 x 1280	342	16.777.216 Farben	4.7:1	609	147:01:00	ja	ja	ja	ja	26255	-	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	-	13	-	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	2.444 Punkte	13.01.2014
Nokia Lumia 720	307	84	56	91.1	86	79.2	81.2	83.6	Windows Phone 8.0	Windows Phone 8.0	Zum Download	Windows Phone Store	Qualcomm MSM8227	2	1.024	512	0.76	7.53333333333333	6.33333333333333	2.76666666666667	2000	-	73	129	128 x 68	10	gut	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 93	4.3	480 x 800	218	16.777.216 Farben	5.1:1	639	142:01:00	ja	ja	ja	ja	4721	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	3.0 EDR (mit A2DP)	Open NFC	6.1	1280 x 1020	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	-	ja	kostenlos verfügbar	Vollversion	Onboard	D-A-CH	9 Sekunden	-	1.472 Punkte	03.06.2013
Samsung Galaxy W i8150	109	84	91	93	85.2	78.5	76.8	95.8	Android 2.3.5 mit TouchWiz 4.0	Android 2.3.5	Zum Download	Google Play	Qualcomm MSM8255T Snapdragon	1	1.4	512	0.52	6.26666666666667	8.38333333333333	2.43333333333333	1500	ja	82.6	113	116 x 61	12	befriedigend	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	48 x 81	3.7	480 x 800	252	16.777.216 Farben	4.4:1	209	158:01:00	ja	ja	ja	ja	2355	für microSD-Karten	USB 2.0	Micro-USB-Buchse	22	für normale SIM	3.0 (mit A2DP)	-	4.9	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	51.041 Punkte	-	20.10.2011
HTC One V	129.95	83.9	78	82.9	81.8	80.4	84.4	95.8	Android 4.0.3 mit HTC Sense 4.0	Android 4.0.3	Zum Download	Google Play	Qualcomm MSM8255 Snapdragon	1	1	512	0.66	4.43333333333333	7.33333333333333	2.5	1500	-	65	117	120 x 60	12	gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	gut	LCD	49 x 81	3.7	480 x 800	250	16.777.216 Farben	4.0:1	425	118:01:00	ja	ja	ja	ja	962	für microSD-Karten	USB 2.0	Micro-USB-Buchse	15	für normale SIM	4.0 (mit A2DP)	-	5	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	39.657 Punkte	-	26.04.2012
Motorola Atrix	149.9	83.9	71	94	83	78	77.7	95.8	Android 2.2 mit Motorola Motoblur	Android 2.3.4	Zum Download	Google Play	Nvidia Tegra 2 AP20H	2	1	1024	0.84	6.41666666666667	7.45	2.88333333333333	1930	ja	78.1	135	118 x 64	11	gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	0.4 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	50 x 89	4	540 x 960	274	16.777.216 Farben	5.4:1	592	162:01:00	ja	ja	ja	ja	10967	für microSD-Karten	USB 2.0	Micro-USB-Buchse	35	für normale SIM	2.1 EDR (mit A2DP)	-	5	-	ja	Doppel LED-Blitz	720 x 1.280 Pixel	microHDMI	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	53.397 Punkte	-	01.09.2011
HTC Windows Phone 8X	479	83.7	42	92.3	89.3	70.2	83.1	83.6	Windows Phone 8.0	Windows Phone 8.0	Zum Download	Windows Phone Store	Qualcomm MSM8960 Snapdragon	2	1.5	1024	0.78	6.23333333333333	7.45	2.7	1800	-	72.6	135	131 x 66	10	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 94	4.3	720 x 1280	344	16.777.216 Farben	4.4:1	350	165:01:00	ja	ja	ja	ja	11939	-	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	3.1 (mit A2DP)	Open NFC	8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	nur Routenplanung	-	-	-	6 Sekunden	57.734 Punkte	-	12.11.2012
ZTE Grand X IN	114.9	83.4	84	82.8	87.3	79.4	79.6	95.8	Android 4.04 für Atom-CPUs mit ZTE UI	Android 4.0.4	Zum Download	Google Play	Intel Atom Medfield Z2460	1	1.6	1024	0.57	5.13333333333333	4.46666666666667	3.21666666666667	1650	ja	56.4	143	127 x 65	11	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	54 x 95	4.3	540 x 960	256	16.777.216 Farben	6.1:1	399	153:01:00	ja	ja	ja	ja	2139	für microSD-Karten	USB 2.0	Micro-USB-Buchse	20	für normale SIM	3.0 EDR (mit A2DP)	-	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	-	14.02.2013
Nokia Lumia 900	214	83.3	67	90.2	87.1	84.6	75.3	83.6	Windows Phone 7.5 Refresh	Windows Phone 7.8	Zum Download	Windows Phone Store	Qualcomm APQ8055 Snapdragon	1	1.4	512	1.49	6.86666666666667	5	2.05	1830	-	68.2	165	128 x 69	12	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	OLED	56 x 94	4.3	480 x 800	217	16.777.216 Farben	3.6:1	327	193:01:00	ja	ja	ja	ja	13936	-	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	2.1 EDR (mit A2DP)	-	8	1280 x 720	ja	Doppel LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Onboard (Nokia Karten)	Weltweit	5 Sekunden	32.257 Punkte	-	20.06.2012
HTC Desire X	124.99	83.3	80	82.7	83.1	79.2	82.2	95.8	Android 4.0.4 HTC Sense 4.1	Android 4.0.4	Zum Download	Google Play	Qualcomm MSM8225 Snapdragon	2	1	768	1.11	5.58333333333333	5.51666666666667	2.16666666666667	1650	ja	69.7	114	118 x 62	9	ausreichend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	sehr gut	LCD	52 x 86	3.9	480 x 800	236	16.777.216 Farben	3.8:1	311	165:01:00	ja	ja	ja	ja	2252	für microSD-Karten	USB 2.0	Micro-USB-Buchse	21	für normale SIM	4.0 (mit A2DP)	-	5.1	-	ja	LED-Blitz	480 x 800 Pixel	-	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	10 Sekunden	-	1.222 Punkte	28.11.2012
Apple iPhone 4 (32 GB)	324.99	82.9	52	88.3	84	69	82.3	100	iOS 4.1	iOS 7.1	Zum Download	Apple App Store	Apple A4	1	800	512	0.93	6.55	5.7	1.83333333333333	1400	-	71.3	141	116 x 59	9	sehr gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	per WLAN	Kapazitiv (mit Multitouch)	sehr gut	LCD	50 x 75	3.5	640 x 960	325	16.777.216 Farben	4.5:1	477	146:01:00	ja	ja	ja	ja	29491	-	USB 2.0	proprietär	9	für Micro-SIM	2.1 EDR (mit A2DP)	-	5	-	ja	LED-Blitz	720 x 1.280 Pixel	Analog	MP3. AAC	ja	-	ja	nur Routenplanung	-	-	-	6 Sekunden	31.862 Punkte	-	07.12.2012
Sony Xperia J	120.99	82.9	77	85.9	79	74.9	84.4	95.8	Android 4.1.2 mit Sony UI	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM7227A Snapdragon	1	1	512	0.73	5.08333333333333	7.16666666666667	2.9	1750	ja	70.5	125	124 x 62	11	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	50 x 89	4	480 x 854	244	16.777.216 Farben	4.8:1	411	149:01:00	-	ja	ja	ja	2150	für microSD-Karten	USB 2.0	Micro-USB-Buchse	17	für normale SIM	2.1 EDR (mit A2DP)	-	5	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	16 Sekunden	-	637 Punkte	07.06.2013
Huawei Ascend Y300	89	82.9	92	90.6	80.2	75.4	80.1	95.8	Android 4.1.2 mit Huawei Emotion UI 1.5	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM8225 Snapdragon	2	1.024	512	0.71	7.45	9.81666666666667	3.25	1950	ja	83.1	134	124 x 64	12	befriedigend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	52 x 87	4	480 x 800	234	16.777.216 Farben	5.1:1	295	124:01:00	ja	ja	ja	ja	2212	für microSD-Karten	USB 2.0	Micro-USB-Buchse	15	für normale SIM	2.1 EDR (mit A2DP)	-	5	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.209 Punkte	23.07.2013
LG L40	72.9	82.5	96	89.2	82.9	67.2	83.5	95.8	Android 4.4.2 mit Optimus UI	Android 4.4.2	-	Google Play	Qualcomm MSM8210 Snapdragon 200	2	1.2	512	1.12	6.45	8	2.45	1540	ja	83.4	113	109 x 59	12	befriedigend	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	gut	LCD	49 x 73	3.5	320 x 480	166	16.777.216 Farben	5.6:1	390	168:01:00	ja	ja	ja	ja	1075	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für normale SIM	4.0 (mit A2DP)	-	3.1	-	-	-	480 x 800 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	16 Sekunden	-	-	02.07.2014
Blackberry Z30	299.99	82.4	52	95.7	94.1	83.3	67.9	73.7	Blackberry 10 OS	Blackberry 10.2 OS	Zum Download	BlackBerry App World	Qualcomm Snapdragon S4 Pro (MSM8960T)	2	1.7	2048	0.77	10.8833333333333	10.5333333333333	3.58333333333333	2880	-	86.2	173	141 x 72	10	sehr gut	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	62 x 110	5	720 x 1280	295	16.777.216 Farben	3.0:1	290	151:01:00	ja	ja	ja	ja	11168	für microSD-Karten	USB 2.0	Micro-USB-Buchse	18	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	microHDMI	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (BlackBerry Maps)	Offboard	14 Sekunden	-	2.772 Punkte	21.01.2014
Sony Xperia U	145	82.1	69	89.8	84.7	77.9	73.3	95.8	Android 2.3.7 mit Sony UI	Android 4.0.4	Zum Download	Google Play	NovaThor U8500	2	1	512	1.22	3.88333333333333	7.53333333333333	2.3	1290	ja	70.4	112	112 x 55	12	gut	802.11n/g/b	Quad-Band	ja	14.0 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	45 x 78	3.5	480 x 854	275	16.777.216 Farben	5.8:1	406	180:01:00	-	ja	ja	ja	4074	-	USB 2.0	Micro-USB-Buchse	26	für normale SIM	2.1 EDR (mit A2DP)	-	5	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. AAC	ja	Mit RDS	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	73.589 Punkte	-	06.06.2012
Sony Xperia E	67.9	81.9	91	87.8	81.9	76.8	76.6	95.8	Android 4.1.1 mit Sony UI	Android 4.1.1	Zum Download	Google Play	Qualcomm MSM7227A Snapdragon	1	1	512	0.87	6.6	6.86666666666667	2.6	1530	ja	77.9	116	113 x 62	12	befriedigend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	gut	LCD	49 x 74	3.5	320 x 480	166	262.144 Farben	2.1:1	392	140:01:00	-	ja	ja	ja	2058	für microSD-Karten	USB 2.0	Micro-USB-Buchse	19	für normale SIM	2.1 EDR (mit A2DP)	-	3.1	-	ja	-	480 x 640 Pixel	-	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	15 Sekunden	-	812 Punkte	06.06.2013
Blackberry Q10	249.44	81.2	53	91.1	93.4	77.8	71.2	73.7	Blackberry 10 OS	Blackberry 10 OS	Zum Download	BlackBerry App World	Qualcomm MSM8960 Snapdragon	2	1.5	2048	1.09	5.73333333333333	13	3	2100	ja	76.7	136	120 x 67	11	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	OLED	55 x 55	3.1	720 x 720	333	16.777.216 Farben	3.8:1	91	161:01:00	ja	ja	ja	ja	11673	für microSD-Karten	USB 2.0	Micro-USB-Buchse	19	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	microHDMI	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (BlackBerry Maps)	Offboard	14 Sekunden	-	1.504 Punkte	25.07.2013
Huawei Ascend W1	99.99	81	72	95	86.2	64.8	78.2	83.6	Windows Phone 8.0	Windows Phone 8.0	-	Windows Phone Store	Qualcomm S4 MSM8230	2	1.2	512	0.44	6.73333333333333	10.6333333333333	3	1950	ja	81.3	125	123 x 62	11	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	52 x 86	4	480 x 800	235	16.777.216 Farben	4.6:1	281	176:01:00	ja	ja	ja	ja	2120	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für normale SIM	2.1 EDR (mit A2DP)	-	5	640 x 480	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	-	ja	nur Routenplanung	-	-	-	7 Sekunden	-	1.589 Punkte	26.04.2013
HTC Windows Phone 8S	140	80.5	67	82.9	85	66.7	84.1	83.6	Windows Phone 8.0	Windows Phone 8.0	Zum Download	Windows Phone Store	Qualcomm Snapdragon S4	2	1	512	0.72	5.48333333333333	5.83333333333333	2.16666666666667	1700	-	65	114	120 x 63	10	sehr gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	sehr gut	LCD	52 x 86	4	480 x 800	236	16.777.216 Farben	3.9:1	398	145:01:00	ja	ja	ja	ja	1259	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	3.1 (mit A2DP)	-	5	-	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	-	ja	nur Routenplanung	-	-	-	7 Sekunden	-	1.446 Punkte	12.02.2013
Samsung Galaxy Ace Plus S7500	143.88	80.1	70	80.6	80	72.4	79.6	95.8	Android 2.3.6 mit Samsung TouchWiz	Android 2.3.6	Zum Download	Google Play	Qualcomm Snapdragon S1	1	1	512	0.83	5.38333333333333	6.4	2.7	1300	ja	69.6	115	115 x 63	11	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	2.0 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	sehr gut	LCD	51 x 77	3.6	320 x 480	159	262.144 Farben	4.5:1	402	216:01:00	ja	ja	ja	ja	2714	für microSD-Karten	USB 2.0	Micro-USB-Buchse	27	für normale SIM	3.0 EDR (mit A2DP)	-	4.9	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	nur nach Lizenz-Erwerb nutzbar	Offboard (Google Maps)	Offboard	14 Sekunden	49.109 Punkte	-	13.04.2012
Samsung Galaxy Ace S5830	90	79.7	79	87.2	78.6	68.5	77.7	95.8	Android 2.2 mit Samsung TouchWiz	Android 2.3.6	Zum Download	Google Play	Qualcomm MSM7227 Snapdragon	1	800	278	0.84	5.5	8.65	2.41666666666667	1350	ja	79.2	112	112 x 60	12	gut	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	2.0 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	sehr gut	LCD	49 x 73	3.5	320 x 480	166	16.777.216 Farben	4.8:1	316	173:01:00	ja	ja	ja	ja	154	für microSD-Karten	USB 2.0	Micro-USB-Buchse	28	für normale SIM	2.1 (mit A2DP)	-	4.9	-	ja	LED-Blitz	240 x 320 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	27 Sekunden	-	-	11.03.2011
Blackberry Z10	209	79.7	63	92	93.1	82.1	62.8	73.7	Blackberry 10 OS	Blackberry 10 OS	Zum Download	BlackBerry App World	Qualcomm MSM8960 Snapdragon	2	1.5	2048	0.87	6.01666666666667	5.18333333333333	2.5	1800	ja	68.1	137	130 x 66	9	befriedigend	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	55 x 91	4.2	768 x 1280	357	16.777.216 Farben	5.2:1	195	163:01:00	ja	ja	ja	ja	11571	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	-	ja	LED-Blitz	1.080 x 1.920 Pixel	microHDMI	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (BlackBerry Maps)	Offboard	14 Sekunden	-	1.709 Punkte	07.02.2013
Blackberry Q5	180.23	79.3	64	92	93.1	73.8	67.2	73.7	Blackberry 10 OS	Blackberry 10 OS	Zum Download	BlackBerry App World	Qualcomm MSM8960 Snapdragon	2	1.2	2048	1.38	5.93333333333333	9.08333333333333	2.8	2180	-	73.1	120	120 x 66	12	befriedigend	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	gut	LCD	55 x 55	3.1	720 x 720	333	16.777.216 Farben	4.6:1	563	182:01:00	ja	ja	ja	ja	4710	für microSD-Karten	USB 2.0	Micro-USB-Buchse	22	für Micro-SIM	4.0 (mit A2DP)	Open NFC	5	-	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (BlackBerry Maps)	Offboard	12 Sekunden	-	1.644 Punkte	30.07.2013
Nokia Lumia 520	79	79.3	80	82.7	84.4	77.9	73.1	83.6	Windows Phone 8.0	Windows Phone 8	Zum Download	Windows Phone Store	Qualcomm S4 Plus MSM8227	2	1.024	512	1.09	4.51666666666667	4.65	2.18333333333333	1430	ja	60.7	123	120 x 64	11	befriedigend	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	-	Resistiv (mit Multitouch)	sehr gut	LCD	52 x 86	4	480 x 800	235	16.777.216 Farben	7.9:1	339	143:01:00	ja	ja	ja	ja	4526	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	3.0 EDR (mit A2DP)	-	5	-	-	-	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Onboard (Nokia Here Drive)	D-A-CH	12 Sekunden	-	1.403 Punkte	18.07.2013
Motorola Defy+	75.9	78.9	82	87.6	79.9	72.5	71.1	95.8	Android 2.3.4 Motorola Motoblur	Android 2.3.4	Zum Download	Google Play	Texas Instruments OMAP 3620	1	1	512	1.09	6.28333333333333	9.88333333333333	2.25	1700	ja	83.8	110	107 x 59	13	befriedigend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	2.0 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	sehr gut	LCD	45 x 81	3.6	450 x 854	261	16.777.216 Farben	5.1:1	211	198:01:00	ja	ja	ja	ja	1187	für microSD-Karten	USB 2.0	Micro-USB-Buchse	36	für normale SIM	2.1 EDR (mit A2DP)	-	5	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	34.312 Punkte	-	20.12.2011
LG Optimus L3 II	58	78.4	85	83.1	77.5	69	76.3	95.8	Android 4.1.2 mit LG Optimus UI 3.0	Android 4.1.2	Zum Download	Google Play	Qualcomm MSM7227A Snapdragon	1	1	512	1	5.7	9.7	2.43333333333333	1540	ja	80	107	103 x 61	12	befriedigend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	2.0 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	mittel	LCD	49 x 65	3.2	240 x 320	125	262.144 Farben	5.2:1	434	141:01:00	ja	ja	ja	ja	1679	für microSD-Karten	USB 2.0	Micro-USB-Buchse	31	für normale SIM	3.0 (mit A2DP)	-	3.1	-	-	-	480 x 640 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	11 Sekunden	-	740 Punkte	10.07.2013
Samsung Galaxy Xcover S5690	159	77.8	59	80	81.8	70	72.7	95.8	Android 2.3.6 mit Samsung TouchWiz	Android 2.3.6	-	Google Play	Marvell MG2	1	800	512	0.58	5.21666666666667	7.13333333333333	2.38333333333333	1500	ja	74.1	140	122 x 65	12	befriedigend	802.11n/g/b	Quad-Band	ja	7.2 MBit/s	2.0 MBit/s	-	-	-	Kapazitiv (mit Multitouch)	gut	LCD	51 x 77	3.6	320 x 480	159	16.777.216 Farben	2.2:1	430	139:01:00	ja	ja	ja	ja	159	für microSD-Karten	USB 2.0	Micro-USB-Buchse	37	für normale SIM	3.0 EDR (mit A2DP)	-	3.1	-	ja	LED-Blitz	480 x 640 Pixel	-	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	25.234 Punkte	-	19.01.2012
